"cons","edo","NOM_ENT","mun","NOM_MUN","grupo","NOMBRE_GRUPO","monto_venta","animales_venta"
"0069","15","México","067","Otzolotepec","4","aves",0,0
"0069","15","México","067","Otzolotepec","5","cyb",0,0
"0070","15","México","067","Otzolotepec","1","reses",0,0
"0070","15","México","067","Otzolotepec","2","equinos",0,0
"0070","15","México","067","Otzolotepec","3","cerdos",0,0
"0070","15","México","067","Otzolotepec","4","aves",0,0
"0070","15","México","067","Otzolotepec","5","cyb",0,0
"0071","15","México","067","Otzolotepec","1","reses",0,0
"0071","15","México","067","Otzolotepec","2","equinos",0,0
"0071","15","México","067","Otzolotepec","3","cerdos",0,0
"0071","15","México","067","Otzolotepec","4","aves",0,0
"0071","15","México","067","Otzolotepec","5","cyb",0,0
"0072","15","México","067","Otzolotepec","1","reses",0,0
"0072","15","México","067","Otzolotepec","2","equinos",0,0
"0072","15","México","067","Otzolotepec","3","cerdos",0,0
"0072","15","México","067","Otzolotepec","4","aves",0,0
"0072","15","México","067","Otzolotepec","5","cyb",0,0
"0073","15","México","067","Otzolotepec","1","reses",0,0
"0073","15","México","067","Otzolotepec","2","equinos",0,0
"0073","15","México","067","Otzolotepec","3","cerdos",0,0
"0073","15","México","067","Otzolotepec","4","aves",0,0
"0073","15","México","067","Otzolotepec","5","cyb",0,0
"0074","15","México","067","Otzolotepec","1","reses",0,0
"0074","15","México","067","Otzolotepec","2","equinos",0,0
"0074","15","México","067","Otzolotepec","3","cerdos",0,0
"0074","15","México","067","Otzolotepec","4","aves",0,0
"0074","15","México","067","Otzolotepec","5","cyb",0,0
"0075","15","México","067","Otzolotepec","1","reses",0,0
"0075","15","México","067","Otzolotepec","2","equinos",0,0
"0075","15","México","067","Otzolotepec","3","cerdos",0,0
"0075","15","México","067","Otzolotepec","4","aves",0,0
"0075","15","México","067","Otzolotepec","5","cyb",0,0
"0076","15","México","067","Otzolotepec","1","reses",0,0
"0076","15","México","067","Otzolotepec","2","equinos",0,0
"0076","15","México","067","Otzolotepec","3","cerdos",0,0
"0076","15","México","067","Otzolotepec","4","aves",0,0
"0076","15","México","067","Otzolotepec","5","cyb",0,0
"0078","15","México","067","Otzolotepec","1","reses",0,0
"0078","15","México","067","Otzolotepec","2","equinos",0,0
"0078","15","México","067","Otzolotepec","3","cerdos",0,0
"0078","15","México","067","Otzolotepec","4","aves",0,0
"0078","15","México","067","Otzolotepec","5","cyb",0,0
"0079","15","México","067","Otzolotepec","1","reses",0,0
"0079","15","México","067","Otzolotepec","2","equinos",0,0
"0079","15","México","067","Otzolotepec","3","cerdos",0,0
"0079","15","México","067","Otzolotepec","4","aves",0,0
