"","cons","edo","mun","loc","s7c7gp01","s7c7gp02","s7c7gp03a","s7c7gp03b","s7c7gp03c","s7c7gp03d","s7c7gp03e","s7c7gp04a","s7c7gp04b","s7c7gp04c","s7c7gp04d","s7c7gp04e","s7c7gp04_ca","s7c7gp04_cb","s7c7gp04_cc","s7c7gp04_cd","s7c7gp04_ce","s7c7gp05a","s7c7gp05b","s7c7gp05c","s7c7gp05d","s7c7gp05e","s7c7gp06a","s7c7gp06b","s7c7gp06c","s7c7gp06d","s7c7gp06e","s7c7gp07","s7c7gp08","s7c7gp09","s7c7gp09_c","s7c7gp10","s7c7gp11","s7c7gp12","s7c7gp12_c","s7c7gp13","s7c7hp01","s7c7hp02","s7c7hp03","s7c7hp06","s7c7hp07","s7c7hp08","s7c7hp09_lc","s7c7hp10_mc","s7c7hp11_edo"
"3044",613,12,2,13,1,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,1,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3045",354,21,113,6,3,1,4,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NaN,NaN,NaN,NaN,6,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,3,NaN,NA,2,NaN,NaN,NaN,NaN,NaN
"3046",1538,5,30,73,4,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3047",1422,27,12,231,4,1,1,NA,NA,NA,NA,20,NA,NA,NA,NA,2,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,1,0,NaN,NaN,NaN,NaN
"3048",206,15,124,32,3,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,3,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3049",2123,16,75,9,4,1,2,NA,NA,NA,NA,15,NA,NA,NA,NA,2,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,2,NaN,NaN,NaN,NaN,NaN
"3050",221,15,124,53,3,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,3,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3051",275,15,74,107,3,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,3,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3052",2264,20,453,1,3,1,2,NA,NA,NA,NA,30,NA,NA,NA,NA,2,NaN,NaN,NaN,NaN,3,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,3,NaN,NA,2,NaN,NaN,NaN,NaN,NaN
"3053",1378,27,8,259,4,1,2,3,NA,NA,NA,1,1,NA,NA,NA,1,1,NaN,NaN,NaN,6,6,NA,NA,NA,12,12,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,2,NaN,NaN,NaN,NaN,NaN
